name,review
지구5350,매일 웨이팅이 있는 이유를 알겟다  엄청 마싯다 ㅠㅠ  해비 알콜러에겐 밥술 하기 좋은곳 하지만 껍데기는 별로였다
얄짤없,
은뚜깅,맛있었는데… 너무 시끄러워요 ㅠㅠ
Hallow0511,굳
홍도검67,
ich,별거 아닌 요리같은데 이상하게 생각나서 또 오게 돼요... 근데 이 날 숟가락 젓가락에 기름이 굳어있었어서ㅠ 위생 좀더 신경써주셨으면 좋겠습니다!
민티아,두번째방문인데.. 친구한테 추천한ㄱㅔ민망하게 타서 오고.. 맛도 예전만 하지않네요
Seh91,진짜로 너무 맛있어요ㅜㅜㅜ(´▽`ʃƪ)♡
얍9871,좋아요
유촐,좋아요
iox****,존맛!!!
iox****,맛있어요!
Rlaruddms00,정말 맛있어요~ 다음에 또 찾아서 먹을 것 같아요
Chefstory,다른지점보다 맛없어요
맛있으면 기절,평범한 고기집맛
Gingermaple,맛있고 친절하나 위생은 정말... 왠지 장갑으로 철판을 닦고있었음;;
지헹헹,고기도 맛있지만 볶음밥 최곱니다
행혼,조금 좁은거 말고는 친구 만나기 좋은 곳
앙녕20,좋아용
밀크탱,비빔국수가 정말 맛있고 치즈들어간 볶음밥 꿀맛임
YuS,맛있게 잘 먹었습니다
뚱이5587,괜찮아요
BONOBN,그냥 그랬어요 제입맛엔 안맞는걸로
ARANs,맛있어요!
Patrick46,
김성현556,맛있어요. 바쁜가게지만 친절해요
GDUMNSUavi,굿
디운,🥰
푸른사과70,맛있어용
장지이28,
밍뭉83,맛있고 사람많어용
짐니6622,쏘쏘
블리비,
wns****,신촌에서 유명한 정통집. 3년째 단골
JSHU,오래 기다려 나온 고기가 타서 말씀드렸는데 사과를 못받았네요.. 깻잎이나 마요네즈같은 사이드는 양이 너무 적어서 계속 리필해야했어요. 리필할때마다 홀 직원들 응대도 불친절해서 좀 불쾌했어요. 맛은 있어요
1학년 18반,넘넘 맛있어용!!!!
가나다라2587,잡내가 심하고 고기도 엄청 딱딱해요
미스킴라일락,양이 좀 적은편... 무엇보다 매장이 미친듯이 추움. 화장실 좁고 더러운편 (남녀공용)
또또1089,맛있어요
슬3992,음식도 맛있었고 직원 분들도 친절하셨어요 :) 메뉴중에서는 특히 껍데기가 쫀득하면서도 부드럽고 단맛도 나면서 정말 맛있었습니다!
쫘앙72,신촌맛집 1번. 맛있어요.
ARANs,맛있고 양 많어요:)
런더니88,고기 냄새나고. 볶으밥 진짜 짜요ㅠ
sjc****,
황수달61,고기가..잔뜩 탔는데 직원분께서 '먹기 좀 그러시냐고' 하셨어요...바꿔주시긴했는데 서비스가 슬프네요.
jwc****,친절한집! 돼지고기와 김치의 조화가 굿입니다. 맛있어요. 신촌 로컬 맛집인듯.
스니81,맛있어요 비빔국수도 맛있어요 껍데기도 쫄깃해요 인스타에 게시글올려서 볶음밥도먹엇어요
구름캔디,좋아요
포시즌7,
키티636,맛있어요
yryr1234,넘맛있어요
su8480,좋아요
foto0624,다타서 탄내가 잔뜩 나네요. 볶음밥도 철판 가장자리가 다 타서 탄내가 많이나요. 손님 수에 비해 직원수도 적어 손님응대도 제대로 되지않네요.
프안137,
lov****,
wws****,자주 가는 곳인데 진짜 맛있고 괜찮아요!
her****,고기가 변했어...
레익타호,
alw****,존마탱
작은사랑869,좋아요
벨리타26,굿
awrt,돼지김치구이 진짜 너무 맛있어요ㅠ
풀아래웃음짓는샘,
mf365,조금탔어요
iox****,넘맛있음!
리라91,그냥 저냥 먹을만 해요
콜라3692,먹을만 했어요~
히히090,맛있었어용 개인적으로 양이 살짝 적은듯한 느낌 일하시는분들도 친절하시구용
고릴라유,가격에 비해서 그렇게 맛있지는 않았습니다...
송구리허당당,한국인이라면 백타 맛있을 수밖에 없는 맛👍 마요네즈소스부터 껍데기까지 완벽했다. 단. 매장이 다소 작아 조용한 분위기는 아니라는 점 참고
귀여워요41,맛잇을수밖에 없는 조합
여울S2,
빵뚱이31,음식이 전체적으로 좀 짭니다 와 맛있다까진 아니지만 먹을만 했습니다^^
발랴,맛있어요~
tot****,친절하고 좋았습니다 !
신째,존맛이에요 바쁜 와중에 직원분들이 친절하셔서 넘 좋았습니당
순달15,저렴하게 맛있게 배부르게 먹음
심효진37,굿
cindjang,맛있고 가게도 깨끗하고좋아요
스카이8541,조아요
힘차게8733,마시있게 잘 먹어습니다
twi****,넘넘 맛납니당
코코바닝,굿!!
윤윤니26,맛있어요
프리라,고기가 건조하고 별루였어용...
aga****,맛있어요
의미론,옥수수+마요네즈+돼지김치 조합이 색다르게 맛잇어요
낙성대무무,ㅎ
sweetie99,후추 맛이 조금 강해요
qwerty8883,가성비 그저그런듯
달썬,저녁시간에 30분기다려서 먹었는데 특별한 맛은 아니었어요 고기는 맛있었는데 김치가 너무부족해서 나중에 느끼해요..
유니니니닝,ㅎ
앗쭈,적당해요
