name,review
not****,여기 쭈삼이 진짜 최고 맛있음 ㅠㅠ 소주 무조건 같이 먹어줘야함
leesess1,직장인이 가기는 약간 아숴워요
jun****,퇴근전부터 쭈꾸미 먹고 싶어서 바로 달려갔다 왔어요~~!
sto****,맛잇게 잘 먹었습니다 쭈꾸미가 통통한게 커서 식감도 좋고 아주 맛있어요!!
sen****,퇴근하는 길에 쭈꾸미가 먹고 싶어서 알아보던중에  차도 있어서 주차할 공간이 필요했는데 주차공간도 있어서 편했어요 ! 웨이팅이 많아서 앞에 앉아서 대기 후 입장했고. 쭈꾸미는 실하고 양도 많고 소스도 너무 맛있었습니다!! 날치알이 무한리필이라 볶음밥에도 넣어먹었어요 가성비넘넘 좋아요!
Lee Donghun,
냥냥823,네네
parieisn,쭈삼 맛있어요
유네영,기존 날치알이 날치마요?소스로 바뀐게 아쉬워요
메텔90,
ham****,손님접대하기조아요~~~^^
소담7686,쭈삼맛있어요
먹는게 남는거임,
emi****,집가는길에있어서 퇴근후에 뿌꾸미에 술한잔하고 볶음밥까지먹으면 하루 마무리 완벽
zer****,그냥먹어도 맛있구 날치알깻잎쌈 먹으면 더맛있구 치즈찍어먹으면 더더맛있구&gt;&lt;
정영구29,콩나물이랑 큼지막한 쭈꾸미랑 맛있는 삼겹살 이렇게 먹으면 술이 술술 들어간다~~~~
1 0 1 0,냠
mwbxvt96,이제 여기서만 쭈꾸미 먹을거에요 삽겹살 쭈꾸미가 자꾸 눈앞에 아른거려요
yui232735,맛있어요
wat****,깔끔하게 잘나와요 아주 맛있어요 ㅎㅎㅎ
mdgfl672,아무리먹어도 질리지않는 쭈꾸미블루스!!
bas****,매콤하네요 스트레스풀려요
wuo****,볶음밥까지 한톨도 안남기고 완전 클리어~~~
bum****,양도 둘이서 푸짐하게먹었고 양념도 아주 맛있어요
4ae****,치즈랑같이 깻잎쌈에 날치알이랑 먹고 계란찜 딱 먹어주면 아쥬 맛있쥬~?
get****,매콤한 쭈꾸미먹고 싶을때 추천합니다~!!!
jooooni,웨이팅있는줄모르고갔어요 원래 웨이팅있으면 잘 안가는데 여기 냄새맡고 도저히 갈수가없었어요ㅠㅠ 분위기 맛 글고 쌈무한인게 넘 감동..
곽달봉,맛있어요!
col****,직우너분 친절하시고 매장도 깔끔해요 치즈대박!!
김현997,날치알 리필할때 친절하셔서 너무 좋네용&gt;&lt;
yma****,오동통한 쭈꾸미에 반해버렸어요ㅠㅠ
gtz****,치즈랑 계란찜 볶음밥까지 다 맛있었어요
fpob48327,이 근처에서 제일로 맛있어요 굿굿
she****,정말 맛있었어요 다음에 또 오려구요!!
아몰랑나안해다이어트,직원들이 너무 불친절해요
han****,쭈꾸미랑 같이 먹을게 많아서 좋아용
ebevgj8290,치즈도 각각 앞에 준비되어있어서 신기하네요 ㅋㅋㅋ
ble****,달달한 계란찜이 쭈꾸미랑 너무 잘어울려용
4iv****,퐁듀처럼 치즈랑 같이먹으면 많이 맵지도않고 정말 짱맛있음
zsvhr46944,날치알 무제한인거 정말 신의한수!!!!
cur****,역시 쭈꾸미는 날치알깻잎쌈!!!
이휘성58,쭈꾸미부터 계란찜까지 완죤 대박쓰-!!!
sur****,정말 맛있게 맵다는게 잘어울리는 양념이에요
gzvoi1669,완죤 미쳐따리 친구랑 둘이서 다먹고나중에 2인분 또 추가했음ㅋㅋㅋ
unl****,치즈랑 계란찜이 기본으로 나와서 너무 만족!!!!
mln****,믿고가는 쭈꾸미 블루스~!!!쭈꾸미 탱탱해용
uhb****,
uri****,회식하기에 아주 좋을것같습니다^^
sod****,매장도 깔끔하구 분위기도 좋고 쭈꾸미도 아주 넉넉하게 나와서 좋습니다
mpu****,맵기도 조절해주셔서 더 맛있게 먹었어요 ㅎㅎ
a916277,양념 맛있게 매콤해서 볶음밥해먹으면 존맛탱
r6y****,날치알이랑 깻잎 후하게 주시는점 너무 좋습니다
chp****,구성 너무 좋네요 가성비 킹~~~~
뱀뱀뱀62,담에 무조건 또 올거에요 분위기도 너무 개성있구 쭈꾸미 맛있게 매워용&gt;&lt;
정다빛69,비주얼이 믿기지않네요 볶음밥 신의한수 안먹으면 후회함
eou****,주꾸미삼겹살 리얼 존맛탱구리~계란찜도 짱 맛있구 치즈도 짱짱맛!!
lam****,왜 이제야왔는지 후회하는중~~~너무 맛있당~~~
ide****,기본찬으로 나오는 홍합탕부터 날치알쌈이랑 다 마음에 들어요!!
fri****,맛있게 매운 쭈꾸미먹으면 그야말로 스트레스가 확날라감~!
ect****,날치알삼이 무한리필이라 너무너무너무  좋아요&gt;&lt;
kwa****,쭈꾸미 오동통하고 양도 많아서 서로 먹겠다고 안싸워도 됨ㅋㅋㅋ
tic****,사장님도 친절하시구 날치알 리필도되니까 맘껏 시켜먹고 조으네~~
정다빛63,보끔밥!!!! 이게바로 보끔밥이지~!!
kwa****,쭈꾸미먹고싶을때 항상 이쪽으로 와야겠어요!
jeo****,너무 기대해서 그런지 갠적으로 그저그래요
rhct6868,여기는 리얼 쭈꾸미 맛집. 무조건 다시 온다 ㅋㅋㅋ
keywha,인테리어가 멋져요!!!
